code	pos	struct	size	type	description	enum
FAILURE_FAULT_28V_RIARMO	22.0	1 Bit	1	Bool	28V non rilevata durante riarmo	0:"Avaria assente";1:"Avaria presente"
FAILURE_FAULT_28V_FRIZIONE	22.1	1 Bit	1	Bool	28V non rilevata frizione	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_CMS_LCMU	22.2	1 Bit	1	Bool	Assenza di comunicazione con il CMS	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_ZERO_VOLT	22.3	1 Bit	1	Bool	Assenza di tensione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_CABLE	22.4	1 Bit	1	Bool	Avaria cavo motore di brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_CABLE	22.5	1 Bit	1	Bool	Avaria cavo motore di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_FAULT_FINE_RIARMO	22.6	1 Bit	1	Bool	Avaria completamento riarmo	0:"Avaria assente";1:"Avaria presente"
FAILURE_ENCODER_TRA	22.7	1 Bit	1	Bool	Avaria Encoder di Brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_ENCODER_ELE	23.0	1 Bit	1	Bool	Avaria Encoder di Elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_BRAKE	23.1	1 Bit	1	Bool	Avaria Freno motore di Brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_BRAKE	23.2	1 Bit	1	Bool	Avaria Freno motore di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_MASTER_SICUREZZE_DIR	23.3	1 Bit	1	Bool	Avaria nel circuito delle sicurezze di brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_SLAVE_SICUREZZE_ELE	23.4	1 Bit	1	Bool	Avaria nel circuito delle sicurezze di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_FAULT_OTTURATORE	23.5	1 Bit	1	Bool	Avaria otturatore	0:"Avaria assente";1:"Avaria presente"
FAILURE_RESOLVER_TRA	23.6	1 Bit	1	Bool	Avaria Resolver di Brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_RESOLVER_ELE	23.7	1 Bit	1	Bool	Avaria Resolver di Elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_RIARMO	24.0	1 Bit	1	Bool	Avaria Riarmo	0:"Avaria assente";1:"Avaria presente"
FAILURE_SIC_FIS_ESCLUSA	24.1	1 Bit	1	Bool	Chiave comandante esclusa	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_CMD_RANGE	24.2	1 Bit	1	Bool	Comando motore non valido	0:"Avaria assente";1:"Avaria presente"
